stop_id,stop_name,stop_lat,stop_lon,stop_desc
MDR_AVANI_BS,Avaniyapuram Bus Stand,9.8855,78.1354,Avaniyapuram main stop
MDR_AVANI_SIG,Avaniyapuram Signal,9.8846,78.1298,Junction signal
MDR_PERIYAR,Periyar Bus Stand,9.9196,78.1196,Central city bus stand
MDR_MATTU,Mattuthavani Integrated Bus Terminus,9.9393,78.1554,Mattuthavani IBS
MDR_PALANG,Palanganatham,9.9009,78.1121,Palanganatham bus stop
MDR_ARAP,Arappalayam,9.9179,78.1039,Arappalayam bus stand
MDR_GORIP,Goripalayam,9.9357,78.1217,Goripalayam junction
MDR_TALLA,Tallakulam,9.9424,78.1343,Tallakulam bus stop
MDR_TEPP,Teppakulam (Mariamman),9.9269,78.1488,Theppakulam stop
MDR_RAIL,Madurai Junction (Railway),9.9256,78.1141,Railway junction front
MDR_AIRPT,Madurai Airport,9.8345,78.0934,Airport terminal stop
MDR_KAPPALUR,Kappalur,9.8716,78.0536,Kappalur stop
MDR_THIRUPAR,Thiruparankundram Temple,9.8822,78.0763,Temple bus stop
MDR_THIRUNAGAR,Thirunagar,9.8899,78.0818,Thirunagar stop
MDR_SIMMAKKAL,Simmakkal,9.9240,78.1201,Simmakkal arch
MDR_KK_NAGAR,KK Nagar,9.9319,78.1068,KK Nagar stop
MDR_P&T,P & T Nagar,9.9348,78.1408,P&T Nagar stop
MDR_MADUKULAM,Madukulathur Rd Junction,9.8721,78.1359,South corridor
MDR_PASUMALAI,Pasumalai,9.8970,78.1060,Pasumalai stop
MDR_THIRUPPALAI,Thiruppalai,9.9743,78.1648,North corridor
KLU_GATE,Kalasalingam Univ Main Gate,9.5768,77.7443,Krishnankoil KLU main gate
KLU_INT_KRISH,Krishnankoil Junction (NH),9.5832,77.7428,Krishnankoil junction on NH44
KLU_ENGG,KLU Engineering Block Stop,9.5794,77.7461,KLU engineering campus stop
KLU_HOSTEL,KLU Hostel Stop,9.5749,77.7470,KLU hostel stop
KLU_ANKK,Ananda Nagar Stop,9.5705,77.7409,Ananda Nagar local stop
KRISH_MARKET,Krishnankoil Market,9.5859,77.7469,Krishnankoil market area
KRISH_NH44_1,NH44 Wayside Stop 1,9.5905,77.7420,Wayside stop along NH44
KRISH_NH44_2,NH44 Wayside Stop 2,9.5972,77.7396,Wayside stop along NH44
KRISH_TOWNHALL,Krishnankoil Townhall Stop,9.5886,77.7501,Townhall nearby stop
